ENSG00000167323,STIM1
ENSG00000144935,TRPC1
ENSG00000089250,NOS1
ENSG00000058668,ATP2B4
ENSG00000069431,ABCC9
ENSG00000187486,KCNJ11
ENSG00000084754,HADHA
ENSG00000138029,HADHB
ENSG00000197265,GTF2E2
ENSG00000153767,GTF2E1
ENSG00000140307,GTF2A2
ENSG00000165417,GTF2A1
ENSG00000162738,VANGL2
ENSG00000274287,SCRIB
ENSG00000004975,DVL2
ENSG00000102981,PARD6A
ENSG00000177885,GRB2
ENSG00000109458,GAB1
ENSG00000146648,EGFR
ENSG00000138798,EGF
ENSG00000121879,PIK3CA
ENSG00000145675,PIK3R1
ENSG00000197122,SRC
ENSG00000089159,PXN
ENSG00000137392,CLPS
ENSG00000175535,PNLIP
ENSG00000078369,GNB1
ENSG00000127928,GNGT1
ENSG00000198515,CNGA1
ENSG00000070729,CNGB1
ENSG00000257365,FNTB
ENSG00000168522,FNTA
ENSG00000113522,RAD50
ENSG00000020922,MRE11
ENSG00000182481,KPNA2
ENSG00000104320,NBN
ENSG00000172977,KAT5
ENSG00000149311,ATM
ENSG00000009954,BAZ1B
ENSG00000153147,SMARCA5
ENSG00000103275,UBE2I
ENSG00000116030,SUMO1
ENSG00000169139,UBE2V2
ENSG00000177889,UBE2N
ENSG00000138376,BARD1
ENSG00000012048,BRCA1
ENSG00000188612,SUMO2
ENSG00000225589,MDC1
ENSG00000128731,HERC2
ENSG00000164053,ATRIP
ENSG00000175054,ATR
ENSG00000111602,TIMELESS
ENSG00000075131,TIPIN
ENSG00000163605,PPP4R2
ENSG00000149923,PPP4C
ENSG00000108384,RAD51C
ENSG00000126215,XRCC3
ENSG00000197774,EME2
ENSG00000172732,MUS81
ENSG00000154920,EME1
ENSG00000139618,BRCA2
ENSG00000051180,RAD51
ENSG00000175595,ERCC4
ENSG00000012061,ERCC1
ENSG00000073050,XRCC1
ENSG00000005156,LIG3
ENSG00000196419,XRCC6
ENSG00000079246,XRCC5
ENSG00000152422,XRCC4
ENSG00000174405,LIG4
ENSG00000049860,HEXB
ENSG00000213614,HEXA
ENSG00000151348,EXT2
ENSG00000182197,EXT1
ENSG00000115904,SOS1
ENSG00000170312,CDK1
ENSG00000134057,CCNB1
ENSG00000165494,PCF11
ENSG00000172409,CLP1
ENSG00000187079,TEAD1
ENSG00000137693,YAP1
ENSG00000074219,TEAD2
ENSG00000007866,TEAD3
ENSG00000197905,TEAD4
ENSG00000132964,CDK8
ENSG00000112237,CCNC
ENSG00000101665,SMAD7
ENSG00000157450,RNF111
ENSG00000284792,PTEN
ENSG00000141510,TP53
ENSG00000165699,TSC1
ENSG00000103197,TSC2
ENSG00000284194,SCO2
ENSG00000048392,RRM2B
ENSG00000135423,GLS2
ENSG00000146674,IGFBP3
ENSG00000141682,PMAIP1
ENSG00000015475,BID
ENSG00000120471,TP53AIP1
ENSG00000197050,ZNF420
ENSG00000115107,STEAP3
ENSG00000104765,BNIP3L
ENSG00000170855,TRIAP1
ENSG00000042286,AIFM2
ENSG00000164938,TP53INP1
ENSG00000120868,APAF1
ENSG00000177595,PIDD1
ENSG00000169372,CRADD
ENSG00000091106,NLRC4
ENSG00000138794,CASP6
ENSG00000003400,CASP10
ENSG00000104419,NDRG1
ENSG00000281449,BCL2L14
ENSG00000089685,BIRC5
ENSG00000113916,BCL6
ENSG00000161642,ZNF385A
ENSG00000116017,ARID3A
ENSG00000165891,E2F7
ENSG00000129173,E2F8
ENSG00000116717,GADD45A
ENSG00000087586,AURKA
ENSG00000132646,PCNA
ENSG00000087088,BAX
ENSG00000175793,SFN
ENSG00000145632,PLK2
ENSG00000173846,PLK3
ENSG00000102760,RGCC
ENSG00000118495,PLAGL1
ENSG00000115966,ATF2
ENSG00000177606,JUN
ENSG00000170345,FOS
ENSG00000122512,PMS2
ENSG00000076242,MLH1
ENSG00000158169,FANCC
ENSG00000134574,DDB2
ENSG00000057657,PRDM1
ENSG00000135679,MDM2
ENSG00000198625,MDM4
ENSG00000113328,CCNG1
ENSG00000064393,HIPK2
ENSG00000127445,PIN1
ENSG00000163349,HIPK1
ENSG00000149136,SSRP1
ENSG00000092201,SUPT16H
ENSG00000101266,CSNK2A1
ENSG00000070770,CSNK2A2
ENSG00000088325,TPX2
ENSG00000188976,NOC2L
ENSG00000176749,CDK5R1
ENSG00000164885,CDK5
ENSG00000152192,POU4F1
ENSG00000151615,POU4F2
ENSG00000172530,BANP
ENSG00000025293,PHF20
ENSG00000185513,L3MBTL1
ENSG00000238134,EHMT2
ENSG00000181090,EHMT1
ENSG00000137203,TFAP2A
ENSG00000124795,DEK
ENSG00000087510,TFAP2C
ENSG00000186153,WWOX
ENSG00000008196,TFAP2B
ENSG00000127337,YEATS4
ENSG00000091831,ESR1
ENSG00000156802,ATAD2
ENSG00000112715,VEGFA
ENSG00000163235,TGFA
ENSG00000124762,CDKN1A
ENSG00000159216,RUNX1
ENSG00000078900,TP73
ENSG00000179588,ZFPM1
ENSG00000102145,GATA1
ENSG00000143387,CTSK
ENSG00000197641,SERPINB13
ENSG00000110092,CCND1
ENSG00000135446,CDK4
ENSG00000173153,ESRRA
ENSG00000109819,PPARGC1A
ENSG00000122691,TWIST1
ENSG00000124813,RUNX2
ENSG00000109705,NKX3-2
ENSG00000120149,MSX2
ENSG00000141646,SMAD4
ENSG00000170365,SMAD1
ENSG00000020633,RUNX3
ENSG00000166949,SMAD3
ENSG00000198176,TFDP1
ENSG00000169016,E2F6
ENSG00000114126,TFDP2
ENSG00000174197,MGA
ENSG00000125952,MAX
ENSG00000213246,SUPT4H1
ENSG00000196235,SUPT5H
ENSG00000103363,ELOB
ENSG00000154582,ELOC
ENSG00000125651,GTF2F1
ENSG00000188342,GTF2F2
ENSG00000114503,NCBP2
ENSG00000136937,NCBP1
ENSG00000224748,TAP1
ENSG00000223481,TAP2
ENSG00000166126,AMN
ENSG00000107611,CUBN
ENSG00000146085,MMUT
ENSG00000151611,MMAA
ENSG00000117560,FASLG
ENSG00000026103,FAS
ENSG00000156735,BAG4
ENSG00000067182,TNFRSF1A
ENSG00000230108,TNF
ENSG00000106052,TAX1BP1
ENSG00000118503,TNFAIP3
ENSG00000104689,TNFRSF10A
ENSG00000173530,TNFRSF10D
ENSG00000120889,TNFRSF10B
ENSG00000134259,NGF
ENSG00000064300,NGFR
ENSG00000184216,IRAK1
ENSG00000172936,MYD88
ENSG00000109320,NFKB1
ENSG00000173039,RELA
ENSG00000119048,UBE2B
ENSG00000070950,RAD18
ENSG00000114742,WDR48
ENSG00000162607,USP1
ENSG00000009413,REV3L
ENSG00000116670,MAD2L2
ENSG00000163743,RCHY1
ENSG00000170734,POLH
